Date,Time,Open,High,Low,Close,Value
2022.08.08,08:00,1.20763,1.21230,1.20688,1.20855,17843
2022.08.08,12:00,1.20855,1.21220,1.20715,1.21208,18930
2022.08.08,16:00,1.21210,1.21380,1.20760,1.20771,21526
2022.08.08,20:00,1.20772,1.20934,1.20686,1.20806,12590
2022.08.09,00:00,1.20770,1.20884,1.20745,1.20778,11441
2022.08.09,04:00,1.20779,1.20855,1.20699,1.20845,9495
2022.08.09,08:00,1.20848,1.21222,1.20653,1.21183,13789
2022.08.09,12:00,1.21191,1.21304,1.20948,1.21073,18927
2022.08.09,16:00,1.21073,1.21289,1.20762,1.20829,24178
2022.08.09,20:00,1.20829,1.20865,1.20630,1.20769,9692
2022.08.10,00:00,1.20736,1.20882,1.20644,1.20684,7828
2022.08.10,04:00,1.20683,1.20843,1.20659,1.20835,8722
2022.08.10,08:00,1.20835,1.21058,1.20674,1.20951,16510
2022.08.10,12:00,1.20953,1.22509,1.20810,1.22188,25158
2022.08.10,16:00,1.22189,1.22771,1.21911,1.22480,40182
2022.08.10,20:00,1.22480,1.22614,1.22100,1.22141,17310
2022.08.11,00:00,1.22114,1.22226,1.22045,1.22090,11148
2022.08.11,04:00,1.22090,1.22096,1.21820,1.21904,11799
2022.08.11,08:00,1.21904,1.22456,1.21833,1.22419,19667
2022.08.11,12:00,1.22422,1.22445,1.21942,1.22353,27245
2022.08.11,16:00,1.22353,1.22494,1.21966,1.22239,34657
2022.08.11,20:00,1.22243,1.22269,1.21854,1.22026,15708
2022.08.12,00:00,1.21964,1.22028,1.21770,1.21841,6628
2022.08.12,04:00,1.21841,1.21970,1.21782,1.21896,10570
2022.08.12,08:00,1.21893,1.22169,1.21677,1.21785,19325
2022.08.12,12:00,1.21785,1.21789,1.21084,1.21106,25235
2022.08.12,16:00,1.21113,1.21444,1.20999,1.21289,32638
2022.08.12,20:00,1.21287,1.21465,1.21284,1.21354,9641
2022.08.15,00:00,1.21089,1.21482,1.21089,1.21421,5726
2022.08.15,04:00,1.21421,1.21448,1.21078,1.21151,10880
2022.08.15,08:00,1.21151,1.21216,1.20688,1.20746,17841
2022.08.15,12:00,1.20746,1.21147,1.20504,1.20892,24572
2022.08.15,16:00,1.20893,1.21094,1.20686,1.20846,21195
2022.08.15,20:00,1.20846,1.20862,1.20497,1.20535,9093
2022.08.16,00:00,1.20522,1.20590,1.20376,1.20395,12274
2022.08.16,04:00,1.20397,1.20605,1.20349,1.20519,9369
2022.08.16,08:00,1.20517,1.20585,1.20078,1.20368,18660
2022.08.16,12:00,1.20372,1.20575,1.20130,1.20551,23726
2022.08.16,16:00,1.20550,1.21178,1.20488,1.20813,25939
2022.08.16,20:00,1.20813,1.21047,1.20793,1.20958,10331
2022.08.17,00:00,1.20937,1.21084,1.20833,1.21075,12389
2022.08.17,04:00,1.21072,1.21228,1.20978,1.21192,13896
2022.08.17,08:00,1.21190,1.21432,1.20775,1.21034,20670
2022.08.17,12:00,1.21034,1.21146,1.20475,1.20627,23524
2022.08.17,16:00,1.20627,1.20956,1.20280,1.20395,26226
2022.08.17,20:00,1.20401,1.20880,1.20355,1.20470,19982
2022.08.18,00:00,1.20440,1.20605,1.20416,1.20507,11899
2022.08.18,04:00,1.20506,1.20592,1.20299,1.20399,14774
2022.08.18,08:00,1.20400,1.20583,1.19944,1.20478,27110
2022.08.18,12:00,1.20478,1.20798,1.20354,1.20490,26424
2022.08.18,16:00,1.20492,1.20534,1.19358,1.19370,30609
2022.08.18,20:00,1.19370,1.19436,1.19224,1.19295,16058
2022.08.19,00:00,1.19277,1.19368,1.19049,1.19055,14161
2022.08.19,04:00,1.19055,1.19258,1.18939,1.19022,14043
2022.08.19,08:00,1.19022,1.19260,1.18798,1.18956,26899
2022.08.19,12:00,1.18956,1.18965,1.18156,1.18476,27041
2022.08.19,16:00,1.18473,1.18577,1.17920,1.18255,28909
2022.08.19,20:00,1.18256,1.18345,1.18106,1.18253,12217
2022.08.22,00:00,1.18104,1.18336,1.18051,1.18069,6874
2022.08.22,04:00,1.18068,1.18366,1.18057,1.18305,14689
2022.08.22,08:00,1.18303,1.18364,1.17822,1.18126,27460
2022.08.22,12:00,1.18124,1.18228,1.17894,1.18184,24804
2022.08.22,16:00,1.18184,1.18271,1.17421,1.17752,28737
2022.08.22,20:00,1.17751,1.17760,1.17517,1.17657,10113
2022.08.23,00:00,1.17637,1.17821,1.17571,1.17743,8326
2022.08.23,04:00,1.17742,1.17848,1.17634,1.17642,12639
2022.08.23,08:00,1.17633,1.17792,1.17174,1.17777,32521
2022.08.23,12:00,1.17777,1.17830,1.17460,1.17648,24633
2022.08.23,16:00,1.17648,1.18779,1.17571,1.18487,39139
